SampleID	2DN.AE	2SM.DN	2i	3DAG.AN	7DAG.AE	7DAG.SM	8DN.AE	8SM.DN	10DAG.AE	13DAG.SM	13i	20DAG.AE	21DN.AE	26DAG.AN	26DAG.SM	27DAG.AE	27DAG.SM	31i	33DN.AE	33SM.DN	33i	34DAG.AE	38DN.AE	39DAG.AE	39DAG.SM	45DN.AE	46DAG.AN	48DN.AN	48SM.DN	49DAG.AN	50DN.AN	50SM.DN	50i	51DN.AN	51SM.DN	54DAG.AN	59DAG.AN	59DAG.SM	59i
Grupo_Experimental	DN_AE	DN	Inicial	DAG_AN	DAG_AE	DAG	DN_AE	DN	DAG_AE	DAG	Inicial	DAG_AE	DN_AE	DAG_AN	DAG	DAG_AE	DAG	Inicial	DN_AE	DN	Inicial	DAG_AE	DN_AE	DAG_AE	DAG	DN_AE	DAG_AN	DN_AN	DN	DAG_AN	DN_AN	DN	Inicial	DN_AN	DN	DAG_AN	DAG_AN	DAG	Inicial
Dieta	Normal	Normal	Normal	DAG	DAG	DAG	Normal	Normal	DAG	DAG	Normal	DAG	Normal	DAG	DAG	DAG	DAG	Normal	Normal	Normal	Normal	DAG	Normal	DAG	DAG	Normal	DAG	Normal	Normal	DAG	Normal	Normal	Normal	Normal	Normal	DAG	DAG	DAG	Normal
Ambiente	Enriquecido	Normal	Normal	Normal	Enriquecido	Normal	Enriquecido	Normal	Enriquecido	Normal	Normal	Enriquecido	Enriquecido	Normal	Normal	Enriquecido	Normal	Normal	Enriquecido	Normal	Normal	Enriquecido	Enriquecido	Enriquecido	Normal	Enriquecido	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
Tiempo	24	12	0	24	24	12	24	12	24	12	0	24	24	24	12	24	12	0	24	12	0	24	24	24	12	24	24	24	12	24	24	12	0	24	12	24	24	12	0
Description	DN_24S_AE	DN_12S	Inicial	DAG_24S_AN	DAG_24S_AE	DAG_12S	DN_24S_AE	DN_12S	DAG_24S_AE	DAG_12S	Inicial	DAG_24S_AE	DN_24S_AE	DAG_24S_AN	DAG_12S	DAG_24S_AE	DAG_12S	Inicial	DN_24S_AE	DN_12S	Inicial	DAG_24S_AE	DN_24S_AE	DAG_24S_AE	DAG_12S	DN_24S_AE	DAG_24S_AN	DN_24S_AN	DN_12S	DAG_24S_AN	DN_24S_AN	DN_12S	Inicial	DN_24S_AN	DN_12S	DAG_24S_AN	DAG_24S_AN	DAG_12S	Inicial
Grupo_Experimental	DN_AE	DN	Inicial	DAG_AN	DAG_AE	DAG	DN_AE	DN	DAG_AE	DAG	Inicial	DAG_AE	DN_AE	DAG_AN	DAG	DAG_AE	DAG	Inicial	DN_AE	DN	Inicial	DAG_AE	DN_AE	DAG_AE	DAG	DN_AE	DAG_AN	DN_AN	DN	DAG_AN	DN_AN	DN	Inicial	DN_AN	DN	DAG_AN	DAG_AN	DAG	Inicial
Dieta	Normal	Normal	Normal	DAG	DAG	DAG	Normal	Normal	DAG	DAG	Normal	DAG	Normal	DAG	DAG	DAG	DAG	Normal	Normal	Normal	Normal	DAG	Normal	DAG	DAG	Normal	DAG	Normal	Normal	DAG	Normal	Normal	Normal	Normal	Normal	DAG	DAG	DAG	Normal
Ambiente	Enriquecido	Normal	Normal	Normal	Enriquecido	Normal	Enriquecido	Normal	Enriquecido	Normal	Normal	Enriquecido	Enriquecido	Normal	Normal	Enriquecido	Normal	Normal	Enriquecido	Normal	Normal	Enriquecido	Enriquecido	Enriquecido	Normal	Enriquecido	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
Tiempo	24	12	0	24	24	12	24	12	24	12	0	24	24	24	12	24	12	0	24	12	0	24	24	24	12	24	24	24	12	24	24	12	0	24	12	24	24	12	0
Description	DN_24S_AE	DN_12S	Inicial	DAG_24S_AN	DAG_24S_AE	DAG_12S	DN_24S_AE	DN_12S	DAG_24S_AE	DAG_12S	Inicial	DAG_24S_AE	DN_24S_AE	DAG_24S_AN	DAG_12S	DAG_24S_AE	DAG_12S	Inicial	DN_24S_AE	DN_12S	Inicial	DAG_24S_AE	DN_24S_AE	DAG_24S_AE	DAG_12S	DN_24S_AE	DAG_24S_AN	DN_24S_AN	DN_12S	DAG_24S_AN	DN_24S_AN	DN_12S	Inicial	DN_24S_AN	DN_12S	DAG_24S_AN	DAG_24S_AN	DAG_12S	Inicial
Actinobaculum sp.	9.54092260722e-05	0.000162751586828	0.000125011161711	0.000104721179859	0.000141295324891	0.000172909756826	9.76689673135e-05	0.000111349274838	0.000301431801055	0.000255249256448	0.000106849022331	0.000262628031165	9.11228153305e-05	0.000145230626234	0.000168553165558	8.0703736583e-05	0.000206711772235	0.000131847847584	9.57267575433e-05	0.0001189296333	0.000154769274727	0.000148771888064	0.000129103651789	0.000139640425903	0.000427632857754	2.12057594843e-05	0.000119331742243	0.000162012191417	0.000246475401755	0.000148186566888	0.000119719855538	0.000211658129789	0.000107781849537	4.92622971009e-05	0.000126699890193	0.000317638266069	0.000185459940653	0.00014645755782	0.000124966805692
Varibaculum sp.	3.18030753574e-05	9.49384256497e-05	7.14349495491e-05	3.49070599529e-05	8.83095780568e-05	4.71572064071e-05	0.000130225289751	0.000167023912257	2.51193167546e-05	4.43911750344e-05	7.12326815543e-05	0.000116723569407	0.000109347378397	4.35691878703e-05	2.59312562397e-05	2.01759341458e-05	4.77027166697e-05	2.1974641264e-05	0.000134017460561	1.982160555e-05	9.52426306015e-05	5.95087552256e-05	7.3773515308e-05	1.74550532379e-05	7.77514286825e-05	4.24115189686e-05	0.000119331742243	4.05030478544e-05	0.000123237700877	1.8523320861e-05	3.99066185127e-05	8.46632519155e-05	7.18545663577e-05	7.38934456514e-05	4.22332967311e-05	9.3423019432e-05	7.41839762611e-05	8.54335753951e-05	7.81042535576e-05
Brevibacterium sp.	0.000206719989823	0.000217002115771	0.000142869899098	0.000122174709835	3.53238312227e-05	6.28762752095e-05	0.00029300690194	0.000111349274838	2.51193167546e-05	9.98801438274e-05	0.000160273533497	0.000131314015583	0.000109347378397	4.35691878703e-05	0.000181518793678	6.05278024373e-05	0.000111306338896	0.000175797130112	0.000153162812069	0.000317145688801	9.52426306015e-05	5.95087552256e-05	0.000129103651789	3.49101064758e-05	7.77514286825e-05	6.36172784528e-05	7.9554494829e-05	0.000222766763199	0.000320418022281	3.70466417219e-05	0.00037911287587	0.000105829064894	0.000107781849537	0.000246311485505	0.00038009967058	5.60538116592e-05	5.56379821958e-05	1.2204796485e-05	0.00020307105925
Nocardia sp.	7.95076883935e-05	0.000149188954592	3.57174747745e-05	6.98141199058e-05	7.06476624455e-05	6.28762752095e-05	0.000358119546816	0.000111349274838	0.000100477267018	7.76845563102e-05	8.90408519429e-05	0.00017508535411	9.11228153305e-05	5.80922504938e-05	0.000168553165558	2.01759341458e-05	8.74549805611e-05	8.78985650559e-05	0.000153162812069	9.91080277502e-05	9.52426306015e-05	4.46315664192e-05	7.3773515308e-05	3.49101064758e-05	7.77514286825e-05	6.36172784528e-05	7.9554494829e-05	0.00014176066749	4.9295080351e-05	5.55699625829e-05	9.97665462817e-05	0.00019049231681	7.18545663577e-05	0.000123155742752	8.44665934623e-05	9.3423019432e-05	3.70919881306e-05	2.440959297e-05	9.37251042692e-05
Adlercreutzia sp.	0.00120851686358	0.0028888406662	0.00194660237521	0.000802862378916	0.0018721630548	0.0013204017794	0.00289751269697	0.00172591375999	0.000477267018337	0.00154259333245	0.0054493001389	0.000919198109078	0.00160376154982	0.00246892064599	0.00180222230866	0.00163425066581	0.000739392108381	0.00419715648142	0.00107213968448	0.00241823587711	0.00133339682842	0.000981894461223	0.00188122464035	0.00134403909932	0.000583135715119	0.00159043196132	0.00260540970565	0.000810060957087	0.00229222123632	0.00442707368577	0.00145659157571	0.0023070736147	0.00274843716318	0.00224143451809	0.00261846439733	0.000504484304933	0.00153931750742	0.00205040580948	0.00196822718965
5-7N15 sp.	0.000397538441967	0.000230564748006	0.0	0.0	0.0	1.57190688024e-05	0.00014650345097	0.000946468836122	0.0	0.0	0.0	0.0	9.11228153305e-05	0.0	0.0	0.0	0.0	0.000285670336432	0.000325470975647	0.000436075322101	0.000488118481832	0.0	9.2216894135e-05	0.0	0.0	6.36172784528e-05	0.0	0.000324024382835	0.000566893424036	0.0	0.000498832731409	0.000719637641282	0.000718545663577	0.000591147565211	0.000464566264043	0.0	0.0	0.0	0.000640454879173
Bacteroides sp.	0.0191613529028	0.00728313351055	0.0256272881507	0.100375250894	0.179339091118	0.105144851219	0.00949016799062	0.00762742532639	0.0998492840995	0.0866404758734	0.0254300673149	0.140943710059	0.0934008857138	0.0520216103172	0.119737575687	0.162638205149	0.130761096844	0.00393346078625	0.00873028028795	0.00319127849356	0.00473832087242	0.102355058988	0.0351530800443	0.0750916390295	0.0434824864907	0.0375341942872	0.0562052505967	0.0062577208935	0.00988366361037	0.0385099840699	0.00736277111559	0.0163188418067	0.00325141912769	0.00470454937314	0.0246431286426	0.100560538117	0.0651335311573	0.109354976506	0.00196822718965
Bacteroidesacidifaciens	0.00101769841144	0.00031194054142	0.0046254129833	0.000209442359717	0.000476871721507	0.000565886476885	0.000992967834353	0.00144754057289	0.000427028384828	0.00071025880055	0.000854792178652	0.000408532492924	0.000255143882925	0.00110375275938	0.000829800199671	0.000322814946332	0.000500878525032	0.000505416749072	0.000459488436208	0.000356788899901	0.000285727891804	0.000357052531354	0.000793065289561	0.000453831384186	0.000505384286436	0.000614967025044	0.00035799522673	0.000486036574252	0.000542245883861	0.000833549438743	0.000937805535048	0.000613808576387	0.00127541855285	0.000665041010862	0.000612382802602	0.000485799701046	0.000278189910979	0.000732287789101	0.000531108924192
Candidatus Azobacteroides sp.	4.77046130361e-05	0.000176314219064	0.000214304848647	1.74535299764e-05	1.76619156114e-05	1.57190688024e-05	0.0	0.000222698549676	0.0	0.0	3.56163407771e-05	0.0	1.82245630661e-05	0.0	0.0	0.0	0.0	0.000175797130112	5.7436054526e-05	5.94648166501e-05	0.000119053288252	0.0	3.6886757654e-05	0.0	0.0	4.24115189686e-05	0.0	2.02515239272e-05	7.39426205265e-05	3.70466417219e-05	3.99066185127e-05	0.000148160690852	0.000269454623841	0.0	0.000401216318946	0.0	0.0	0.0	0.00020307105925
Paludibacter sp.	0.000508849205718	0.000149188954592	0.000446468434682	0.00221659830701	0.00480404104629	0.00179197384347	0.000211616095846	0.000278373187095	0.00155739763878	0.00149820215741	0.000480820600492	0.00328285038956	0.00242386688779	0.00114732194725	0.00219119115226	0.0037930756194	0.00327558654465	6.59239237919e-05	0.000191453515087	3.96432111001e-05	2.38106576504e-05	0.00214231518812	0.000848395426042	0.00218188165474	0.00155502857365	0.00110269949318	0.00177008750994	0.000162012191417	0.000197180321404	0.00105582928907	9.97665462817e-05	0.00038098463362	0.0	9.85245942018e-05	0.000422332967311	0.00265321375187	0.00168768545994	0.00198938182706	1.56208507115e-05
Parabacteroides sp.	0.00138343377805	0.000786632669669	0.000732208232878	0.00211187712715	0.00646426111376	0.000204347894431	0.000879020705821	0.000473234418061	0.00160763627229	0.000366227194034	0.000160273533497	0.00179462487963	0.00165843523902	0.00233821308237	0.0035266508486	0.00187636187555	0.0098506109923	0.000725163161711	0.00181880839332	0.000693756194252	0.0015595980761	0.000520701608224	0.00278495020288	0.00438121836272	0.00285736500408	0.00245986810018	0.00101431980907	0.00303772858908	0.00133096716948	0.00240803171193	0.00273360336812	0.00251873174449	0.000287418265431	0.000886721347816	0.00200608159473	0.00244768310912	0.00192878338279	0.00031732470861	0.000374900417077
Parabacteroidesdistasonis	0.00395948288199	0.00164107850052	1.78587373873e-05	0.00141373592809	0.000847771949346	0.0	0.00029300690194	5.56746374189e-05	0.000904295403165	0.0	3.56163407771e-05	0.00160494907934	0.00781833755536	0.00174276751481	1.29656281199e-05	0.0023807602292	0.0	0.0038455622212	0.0084048093123	0.00523290386521	0.0048692794895	0.00120505229332	0.00267428992992	0.00176296037703	0.0014578392878	0.00248107385966	0.00151153540175	0.00103282772029	0.00359854086562	0.000500129663246	0.00137677833869	0.00745036616856	1.79636415894e-05	0.000443360673908	0.00671509418025	0.002466367713	0.00146513353116	0.00477207542564	0.0
Prevotella sp.	0.0367961581885	0.0261758802148	0.0241092954728	0.000645780609128	0.000918419611791	0.000613043683292	0.0148294048704	0.0187623528102	0.000502386335092	0.00055488968793	0.0192862485308	0.000744112754968	0.0468006779537	0.000580922504938	0.000635315777873	0.000746509563393	0.000771193919494	0.0649570395763	0.0536069842242	0.0217839444995	0.0495499785704	0.000728982251514	0.0109922537809	0.000733112235992	0.000602573572289	0.0086307441101	0.000596658711217	0.0529779865935	0.0321896874692	0.000444559700663	0.072470419219	0.0471997629429	0.00718545663577	0.0543116825538	0.0215812146296	0.000616591928251	0.000463649851632	0.000683468603161	0.00413952543856
AF12 sp.	0.00435702132396	2.71252644713e-05	0.0	0.0227768566193	0.015542485738	7.85953440118e-05	0.0083506967053	0.0	0.021803566943	3.32933812758e-05	1.78081703886e-05	0.01377338119	0.00479306008638	0.013651678866	6.48281405993e-05	0.0156767008312	1.59009055566e-05	0.00043949282528	0.00139761066013	0.00120911793855	9.52426306015e-05	0.0308106580181	0.00165990409443	0.0166870308954	0.0229755471757	0.00173887227771	0.0115751789976	0.00319974078049	0.00105984422755	0.0166154188123	0.00395075523276	0.00126994877873	0.0	0.000960614793468	0.000274516428752	0.0220665171898	0.0140764094955	0.00417404039788	0.0
Blvii28 sp.	0.000461144592682	0.00040687896707	0.000607197071167	0.000680687669081	0.000476871721507	0.00033010044485	0.000227894257065	0.000723770286446	0.000301431801055	0.000510498512896	0.000730134985932	0.00052525606233	0.000984126405569	0.000479261066574	0.000531590752914	0.000685981760956	0.000659887580598	0.000791087085503	0.00028718027263	0.000455896927651	0.00029763322063	0.000669473496288	0.000479527849502	0.000541106650375	0.000777514286825	0.000424115189686	0.00057677008751	0.000465785050325	0.000911958986493	0.000666839550995	0.000618552586947	0.00122761715277	0.000395200114967	0.000640409862312	0.000950249176451	0.000504484304933	0.00035237388724	0.000475987062916	0.000468625521346
PW3 sp.	0.00012721230143	4.0687896707e-05	3.57174747745e-05	0.000122174709835	0.000105971493668	0.000188628825628	9.76689673135e-05	8.35119561284e-05	0.000125596583773	0.000110977937586	1.78081703886e-05	0.000233447138814	0.000164021067595	0.000232369001975	0.000350071959236	0.000403518682915	0.00023056313057	0.00010987320632	7.65814060346e-05	3.96432111001e-05	0.000154769274727	0.000119017510451	0.000129103651789	0.000139640425903	0.000330443571901	4.24115189686e-05	0.000159108989658	0.00014176066749	2.46475401755e-05	0.000148186566888	3.99066185127e-05	6.34974389366e-05	0.000143709132715	9.85245942018e-05	0.000105583241828	0.000242899850523	0.000111275964392	8.54335753951e-05	7.81042535576e-05
Rikenella sp.	6.36061507148e-05	4.0687896707e-05	3.57174747745e-05	0.000226895889694	0.000176619156114	3.14381376047e-05	9.76689673135e-05	5.56746374189e-05	0.000251193167546	2.21955875172e-05	3.56163407771e-05	0.000189675800286	5.46736891983e-05	0.000159753688858	3.88968843596e-05	0.00014123153902	4.77027166697e-05	8.78985650559e-05	1.91453515087e-05	3.96432111001e-05	2.38106576504e-05	0.000297543776128	5.5330136481e-05	0.000261825798569	0.000213816428877	0.0	9.94431185362e-05	8.10060957087e-05	2.46475401755e-05	0.000203756529471	9.97665462817e-05	8.46632519155e-05	0.0	0.0	4.22332967311e-05	0.000298953662182	0.000166913946588	6.10239824251e-05	1.56208507115e-05
Butyricimonas sp.	0.000111310763751	1.35626322357e-05	0.000107152424324	0.000401431189458	0.000883095780568	0.000518729270478	6.51126448756e-05	2.78373187095e-05	0.000577744285355	0.000455009544103	0.000178081703886	0.00059820829321	0.000492063202785	0.000348553502963	0.000518625124794	0.000544750221935	0.000707590297267	2.1974641264e-05	3.82907030173e-05	1.982160555e-05	4.76213153007e-05	0.000550455985837	0.000258207303578	0.000436376330948	0.000252692143218	8.48230379371e-05	0.00035799522673	2.02515239272e-05	7.39426205265e-05	0.000277849812914	3.99066185127e-05	8.46632519155e-05	0.0	0.0	8.44665934623e-05	0.000710014947683	0.00031528189911	0.000475987062916	0.0
Odoribacter sp.	0.0457964285146	0.0201676341344	0.0274667381016	0.0411030630945	0.0231547713665	0.0264394737256	0.0276077614273	0.00718202822704	0.0264506405426	0.0256248057886	0.00552053282046	0.0342437771747	0.037232782344	0.0553619147206	0.032556692209	0.0433984343475	0.0257356156433	0.00498824356692	0.03312145811	0.0166897918731	0.0154531168151	0.0415222339587	0.0355403909996	0.0593995461686	0.0384480814835	0.035031914668	0.0487867939539	0.0464569958889	0.0351473922902	0.0488830437521	0.0505018257278	0.0297802988613	0.00979018466624	0.02684795192	0.025994594138	0.0453662182362	0.0512796735905	0.0412888265088	0.0066388615524
CF231 sp.	0.000190818452144	0.000122063690121	0.000535762121618	0.000191988829741	8.83095780568e-05	6.28762752095e-05	0.000276728740721	8.35119561284e-05	2.51193167546e-05	9.98801438274e-05	5.34245111657e-05	4.37713385275e-05	0.000164021067595	0.000246892064599	0.000129656281199	0.000121055604875	0.000151058602787	4.3949282528e-05	7.65814060346e-05	9.91080277502e-05	4.76213153007e-05	0.000119017510451	0.000313537440059	8.72752661896e-05	5.83135715119e-05	0.000233263354327	0.000119331742243	0.000445533526398	0.000197180321404	0.000129663246027	0.000419019494383	6.34974389366e-05	8.98182079471e-05	7.38934456514e-05	0.000126699890193	0.000112107623318	3.70919881306e-05	0.000134252761335	1.56208507115e-05
Paraprevotella sp.	0.00190818452144	0.00109857321109	0.00178587373873	0.000942490618728	0.000724138540066	0.000785953440118	0.000927855189478	0.0020599615845	0.00060286360211	0.000421716162827	0.000658902304377	0.000291808923517	0.00158553698675	0.000929476007901	0.000842765827791	0.000907917036559	0.000500878525032	0.00114268134573	0.00103384898147	0.000713577799802	0.000833373017763	0.000788491006739	0.00138325341203	0.000680747076279	0.00108852000156	0.00146319740442	0.000497215592681	0.00162012191417	0.0010105491472	0.000815026117882	0.00229463056448	0.00135461203065	0.0013652367608	0.00118229513042	0.00209054818819	0.000822122571001	0.000871661721068	0.000353939098066	0.00112470125123
Prevotella sp.	0.000302129215895	0.000162751586828	0.0	0.0	0.0	0.0	6.51126448756e-05	2.78373187095e-05	0.0	0.0	0.0	0.0	0.000182245630661	0.0	0.0	0.0	0.0	0.00021974641264	0.000344616327156	5.94648166501e-05	0.000214295918853	0.0	1.8443378827e-05	0.0	1.94378571706e-05	2.12057594843e-05	0.0	0.000243018287126	0.000197180321404	0.0	0.000359159566614	0.000423316259578	0.0	0.000295573782605	0.000126699890193	0.0	0.0	0.0	0.0
Fluviicola sp.	0.000286227678216	0.000257690012478	8.92936869363e-05	3.49070599529e-05	1.76619156114e-05	0.0	0.00029300690194	2.78373187095e-05	2.51193167546e-05	2.21955875172e-05	3.56163407771e-05	2.91808923517e-05	0.000200470193727	2.90461252469e-05	0.0	0.000121055604875	1.59009055566e-05	0.000197771771376	0.000229744218104	5.94648166501e-05	2.38106576504e-05	1.48771888064e-05	0.000774621910734	1.74550532379e-05	0.0	0.00059376126556	0.0	0.000526539622107	0.000123237700877	0.0	0.00021948640182	0.000211658129789	7.18545663577e-05	0.000197049188404	0.000105583241828	3.73692077728e-05	1.85459940653e-05	2.440959297e-05	6.24834028461e-05
Flavobacterium sp.	0.00637651660916	0.00413660283188	0.00616126439861	0.00610873549175	0.00755929988167	0.00602040335131	0.00349980466207	0.0104111571973	0.00540065310224	0.00422825942203	0.00471916515297	0.00536928419271	0.00889358677626	0.0055768560474	0.00552335757906	0.00843354047292	0.00564482147258	0.00468059858923	0.00488206463471	0.00457879088206	0.00364303062051	0.00541529672553	0.00540390999631	0.00677256065631	0.00763907786806	0.00570434930127	0.00570803500398	0.00741205775735	0.00635906536528	0.00533471640796	0.00790151046551	0.00903780214198	0.00319752820292	0.00677356585138	0.00973477489653	0.0067264573991	0.00543397626113	0.00557759199365	0.00363965821579
Psychroflexus sp.	6.36061507148e-05	0.000108501057885	0.000125011161711	6.98141199058e-05	7.06476624455e-05	3.14381376047e-05	1.62781612189e-05	0.000139186593547	0.0	2.21955875172e-05	7.12326815543e-05	5.83617847034e-05	5.46736891983e-05	4.35691878703e-05	7.77937687191e-05	6.05278024373e-05	6.36036222263e-05	6.59239237919e-05	7.65814060346e-05	1.982160555e-05	4.76213153007e-05	5.95087552256e-05	3.6886757654e-05	3.49101064758e-05	3.88757143413e-05	4.24115189686e-05	0.0	8.10060957087e-05	9.8590160702e-05	5.55699625829e-05	0.000119719855538	6.34974389366e-05	7.18545663577e-05	9.85245942018e-05	0.000211166483656	7.47384155456e-05	1.85459940653e-05	8.54335753951e-05	1.56208507115e-05
Caldilinea sp.	7.95076883935e-05	1.35626322357e-05	8.92936869363e-05	0.000104721179859	7.06476624455e-05	4.71572064071e-05	3.25563224378e-05	5.56746374189e-05	0.000100477267018	8.87823500688e-05	3.56163407771e-05	2.91808923517e-05	9.11228153305e-05	0.000116184500988	3.88968843596e-05	6.05278024373e-05	0.000103355886118	0.00010987320632	0.000153162812069	0.0001189296333	0.000107147959427	0.000104140321645	0.00018443378827	6.98202129516e-05	0.000174940714536	6.36172784528e-05	9.94431185362e-05	0.000121509143563	0.000123237700877	0.000111139925166	0.000139673164794	0.000105829064894	0.000125745491126	0.000123155742752	6.33499450967e-05	5.60538116592e-05	5.56379821958e-05	6.10239824251e-05	0.000109345954981
Mucispirillumschaedleri	0.00422980902253	0.0278033960831	0.000642914545942	0.0788899554935	0.00785955244706	0.0195545215901	0.0906205235057	0.00192077499095	0.141899020347	0.0109091312647	0.00174520069808	0.0278677521959	0.00663374095606	0.00747937725107	0.0199281704202	0.00121055604875	0.062967586004	0.00637264596655	0.011027722469	0.0010703666997	0.0146911757703	0.0455539521252	0.00245296938399	0.00755803805202	0.0420829607744	0.00212057594843	0.0024860779634	0.035602179064	0.00436261461106	0.00107435260994	0.00802123032105	2.11658129789e-05	7.18545663577e-05	0.0335229931772	4.22332967311e-05	0.0278400597907	0.00999629080119	0.000671263806676	0.0
Cohnella sp.	0.0	0.000122063690121	3.57174747745e-05	0.000314163539576	3.53238312227e-05	6.28762752095e-05	3.25563224378e-05	0.000194861230966	0.0	0.00015536911262	8.90408519429e-05	0.0	7.28982522644e-05	0.000450214941327	0.000116690653079	0.000161407473166	0.000135157697231	0.0	1.91453515087e-05	0.000257680872151	3.57159864755e-05	0.000699227873901	0.000516414607156	1.74550532379e-05	3.88757143413e-05	0.000530143987107	0.000835322195704	0.00014176066749	0.0	0.00057422294669	1.99533092563e-05	6.34974389366e-05	5.38909247683e-05	4.92622971009e-05	6.33499450967e-05	0.000186846038864	0.0012796735905	0.000829926160981	6.24834028461e-05
Staphylococcus sp.	0.0	0.0	5.35762121618e-05	0.0	8.83095780568e-05	0.000723077164909	0.0	0.000194861230966	5.02386335092e-05	0.0	0.0	7.29522308792e-05	0.0031710739735	1.45230626234e-05	3.88968843596e-05	0.0	3.97522638914e-05	0.0	0.000134017460561	0.00017839444995	0.0	1.48771888064e-05	0.000202877167097	1.74550532379e-05	0.0	0.000233263354327	0.0	0.0	0.0	5.55699625829e-05	0.0	0.0	7.18545663577e-05	0.0	0.0	0.0	1.85459940653e-05	8.54335753951e-05	1.56208507115e-05
Enterococcus sp.	6.36061507148e-05	6.78131611783e-05	8.92936869363e-05	0.00134392180819	0.00250799201681	0.000754515302513	1.62781612189e-05	0.000417559780642	0.000703340869128	0.00149820215741	5.34245111657e-05	0.00118182614024	0.000473838639719	0.00318055071453	0.00115394090267	0.00447905738036	0.00176500051678	8.78985650559e-05	5.7436054526e-05	0.000535183349851	3.57159864755e-05	0.0027820343068	0.000387310955367	0.00558561703613	0.00155502857365	0.000508938227623	0.0033015115354	0.000162012191417	7.39426205265e-05	0.00298225465862	9.97665462817e-05	0.000148160690852	3.59272831788e-05	2.46311485505e-05	0.000253399780387	0.00104633781764	0.00298590504451	0.00295356074937	9.37251042692e-05
Lactobacillus sp.	0.00251244295323	0.0234497911355	0.0258951692115	0.0564447159438	0.0166198625903	0.0234528506531	0.00177431957286	0.097541964758	0.00469731223311	0.0204865272784	0.0197848773017	0.00398319180601	0.0312915747845	0.0893604043221	0.0172572510275	0.0223751109676	0.0248213135738	0.00626277276023	0.0053032623679	0.145807730426	0.0132744416401	0.154603746076	0.198026558466	0.0305114330599	0.0096606150138	0.208304175414	0.168257756563	0.020292026975	0.0209011140688	0.0677953543511	0.0141468962627	0.0134402912416	0.0104368757635	0.0024384837065	0.0397204155756	0.0214686098655	0.217136498516	0.148031976567	0.0173860068419
Lactobacillusreuteri	0.0	0.0	0.000160728636485	0.00347325246531	0.000706476624455	0.000188628825628	0.0	0.000111349274838	2.51193167546e-05	0.00146490877614	0.000712326815543	0.0	1.82245630661e-05	0.00528639479493	0.00123173467139	0.00159389879751	0.000453175808362	2.1974641264e-05	0.0	0.000416253716551	0.000190485261203	0.00446315664192	0.00475839173737	0.000157095479141	0.000291567857559	0.00551349746591	0.0102028639618	0.00014176066749	0.0	0.00440855036491	0.000359159566614	2.11658129789e-05	0.000520945606093	0.000197049188404	8.44665934623e-05	0.00153213751868	0.0108679525223	0.00854335753951	0.000140587656404
Lactobacillusvaginalis	0.0	1.35626322357e-05	3.57174747745e-05	0.000820315908893	0.00012363340928	3.14381376047e-05	0.0	8.35119561284e-05	0.0	0.000488302925378	0.000267122555829	2.91808923517e-05	0.0	0.00116184500988	0.000194484421798	0.000262287143895	0.000119256791674	0.0	0.0	3.96432111001e-05	4.76213153007e-05	0.000907508517191	0.00092216894135	3.49101064758e-05	0.000116627143024	0.00110269949318	0.00228719172633	6.07545717815e-05	0.0	0.000815026117882	3.99066185127e-05	0.0	0.000215563699073	2.46311485505e-05	2.11166483656e-05	0.000448430493274	0.00239243323442	0.00217245377433	6.24834028461e-05
Lactococcus sp.	0.0	0.0	0.0	0.00837769438869	0.0209646938307	0.00697926654825	1.62781612189e-05	0.0	0.00638030645566	0.016502419319	0.0	0.00765998424232	3.64491261322e-05	0.0238032996398	0.0130304562605	0.0411589056573	0.0150820089204	0.0	0.0	0.0	3.57159864755e-05	0.0225240638529	0.0	0.0492756152906	0.0110990164444	0.0	0.0268098647574	0.0	0.0	0.0252287630126	0.0	2.11658129789e-05	3.59272831788e-05	0.0	2.11166483656e-05	0.00887518684604	0.0197885756677	0.0262647220358	0.0
Turicibacter sp.	0.0	1.35626322357e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00356788899901	0.00102385827897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00076407374544	0.0	0.0	0.000253989755747	0.0	0.0	0.00240729791368	0.0	0.0	0.0	0.000109345954981
Alkaliphilus sp.	3.18030753574e-05	1.35626322357e-05	0.0	0.00225150536696	0.0	4.71572064071e-05	0.0	0.0	2.51193167546e-05	1.10977937586e-05	0.0	0.0	3.64491261322e-05	0.00408098059719	0.000440831356075	2.01759341458e-05	7.95045277829e-06	2.1974641264e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00570803500398	0.0	0.0	0.00622383580928	0.0	2.11658129789e-05	0.0	0.0	2.11166483656e-05	0.00046711509716	0.00255934718101	0.00418624519436	9.37251042692e-05
